perturbation_index,target_gene,global_index,vcc_output_index,has_replogle_expression_gene,has_replogle_perturbation,replogle_perturbed_cell_count
55,ELK1,5642,5642,1,1,143
56,EPC2,6923,6923,1,1,259
57,EPHB2,6478,6478,0,0,0
58,EPM2AIP1,13718,13718,1,1,87
59,EZH2,3207,3207,1,1,198
60,FAM120A,632,632,1,1,228
61,FCGRT,2890,2890,1,1,224
62,FHL3,14456,14456,1,1,320
63,FOXN2,12350,12350,1,1,232
64,FOXO4,14670,14670,0,1,293
65,FUBP3,3285,3285,1,1,118
66,FXYD5,1779,1779,1,1,318
67,FZD2,13976,13976,1,1,187
68,GIGYF2,16554,16554,1,1,251
69,GLI3,3223,3223,0,1,324
70,GLYR1,7708,7708,1,1,237
71,GMEB2,2396,2396,1,1,140
72,GPATCH8,15102,15102,1,1,284
73,GRAMD1A,1781,1781,1,1,255
74,GTF2IRD1,148,148,0,1,93
75,HDAC1,4425,4425,1,1,165
76,HDAC8,8577,8577,1,1,133
77,HEATR6,1003,1003,1,0,0
78,HMGN3,4652,4652,1,1,130
79,HMGN4,14374,14374,1,1,177
80,HMGXB3,4082,4082,1,1,342
81,HOMEZ,17213,17213,1,1,198
82,HSBP1,17468,17468,1,1,168
83,HSP90AB1,1997,1997,1,1,74
84,IFI27L2,4767,4767,0,1,89
85,IFNAR2,9896,9896,1,1,183
86,IFNGR2,9897,9897,1,1,295
87,IL10RB,17745,17745,1,1,241
88,IREB2,6996,6996,1,1,157
89,KDM5A,1194,1194,1,1,185
90,KHDRBS1,5027,5027,1,1,129
91,KHSRP,1710,1710,1,1,101
92,KIF21B,4484,4484,0,0,0
93,KIF2A,1023,1023,1,1,301
94,KMT2A,4620,4620,1,1,205
95,LDLR,5990,5990,1,1,175
96,LENG1,3048,3048,1,1,66
97,LMAN1,1229,1229,1,1,244
98,LMBRD2,10827,10827,1,1,169
99,LPCAT3,3805,3805,1,1,129
100,MAN2A1,3987,3987,1,1,196
101,MAP2K2,5668,5668,1,1,185
102,MAPK12,15386,15386,1,1,46
103,MAPK7,11390,11390,0,0,0
104,MARCKSL1,13184,13184,1,1,150
105,MBD4,5882,5882,1,1,200
106,MED13,3425,3425,1,1,268
107,MED15,2068,2068,1,1,306
108,MED25,2924,2924,1,1,186
109,MLKL,11839,11839,0,0,0
110,MLLT10,1382,1382,1,1,198
111,MSANTD4,12373,12373,0,1,140
112,MSI2,9324,9324,1,1,136
113,MTA1,14380,14380,1,1,144
114,MTF1,15523,15523,1,1,168
115,MTHFSD,2700,2700,0,1,188
116,MTM1,12415,12415,0,1,188
117,MYD88,12811,12811,1,1,355
118,MYPOP,13353,13353,0,1,144
119,MYRF,5406,5406,1,1,450
120,NABP2,7553,7553,1,1,664
121,NAIF1,12437,12437,1,1,264
122,NCLN,5555,5555,1,1,74
123,NFE2L1,1528,1528,1,1,93
124,NGLY1,8996,8996,1,1,212
125,NICN1,8326,8326,0,0,0
126,NIPAL3,11,11,1,1,133
127,NIPSNAP3A,7056,7056,1,1,123
128,NT5DC1,13704,13704,1,1,207
129,NUP37,1248,1248,1,1,135
130,PAN2,6825,6825,0,1,215
131,PAPOLA,1806,1806,1,1,48
132,PARP3,562,562,0,0,0
133,PATL1,11479,11479,1,1,112
134,PBLD,3387,3387,0,0,0
135,PCGF1,4261,4261,0,1,260
136,PCGF6,9585,9585,1,1,179
137,PDCD4,8946,8946,1,1,190
138,PDE6D,9652,9652,0,1,311
139,PDK1,9146,9146,1,1,69
140,PDK3,997,997,0,0,0
141,PGLS,6022,6022,1,1,231
142,PHF11,6952,6952,0,0,0
143,PHF19,4741,4741,1,1,18
144,PHF23,555,555,1,1,261
145,PHF8,12815,12815,1,1,188
146,PI4KB,8073,8073,1,1,63
147,PIM2,2545,2545,1,1,216
148,PIN1,5708,5708,1,1,37
149,PINK1,9872,9872,0,1,1745
150,PKN3,10079,10079,1,1,197
151,PLAGL2,5574,5574,1,1,278
152,PLCG1,5286,5286,0,1,213
153,PNP,16379,16379,1,1,270
154,POLD4,13247,13247,1,1,352
155,POR,5755,5755,1,1,260
156,PPIF,3386,3386,1,1,256
157,PPIP5K2,8406,8406,1,1,121
158,PQBP1,2548,2548,1,1,135
159,PRDX3,11183,11183,1,1,217
160,PRKAB2,6257,6257,1,1,272
161,PRKACA,1135,1135,1,1,64
162,PRMT2,10059,10059,1,1,217
163,PRMT6,16428,16428,1,1,113
164,PRMT7,6367,6367,1,1,157
165,PRNP,12598,12598,0,1,193
166,PSKH1,9983,9983,1,1,110
167,PSMB9,17641,17641,0,0,0
168,PTMS,9932,9932,1,1,186
169,PTOV1,2919,2919,1,1,79
170,PYCR1,14385,14385,1,1,355
171,R3HCC1L,11266,11266,1,1,134
172,RAB11FIP5,6852,6852,0,0,0
173,RAB5A,8261,8261,1,1,163
174,RABEP2,13569,13569,1,1,254
175,RBM18,4747,4747,1,1,168
176,RBM26,7585,7585,1,1,168
177,RBM4B,12991,12991,1,1,199
178,RBM5,41,41,1,1,99
179,RC3H2,744,744,1,1,166
180,REV1,6913,6913,1,1,147
181,RFK,6731,6731,1,1,46
182,RNF10,408,408,1,1,281
183,RNF141,3643,3643,1,1,314
184,RNF2,5001,5001,1,1,114
185,RSRC1,13137,13137,1,1,69
186,S100A11,10501,10501,1,1,199
187,SAP30L,10923,10923,1,1,149
188,SCAF8,16998,16998,1,1,181
189,SEMA4F,6850,6850,0,0,0
190,SFXN4,14494,14494,1,1,149
191,SH2D3A,5494,5494,0,1,175
192,SHPRH,8511,8511,1,1,224
193,SIN3B,5715,5715,1,1,92
194,SLC25A13,63,63,1,1,152
195,SLC39A1,8114,8114,1,1,203
196,SLC44A1,1073,1073,0,0,0
197,SLIRP,4786,4786,1,1,49
198,SMARCA5,9253,9253,1,1,140
199,SMARCC2,7556,7556,1,1,272
200,SMYD2,8097,8097,1,1,205
201,SND1,15952,15952,1,1,207
202,SNN,14695,14695,0,0,0
203,SNRK,10679,10679,1,1,224
204,SNX4,4160,4160,1,1,74
205,SOCS5,12431,12431,0,0,0
206,SPATA20,126,126,0,0,0
207,SRSF5,2292,2292,1,1,201
208,SSR4,14045,14045,1,1,128
209,STAT6,11478,11478,1,1,23
210,STK3,2822,2822,1,1,185
211,STT3A,6720,6720,1,1,66
212,SUPT7L,4796,4796,1,1,127
213,SYVN1,10276,10276,1,1,169
214,TAF15,18210,18210,1,1,282
215,TAF4,6081,6081,1,0,0
216,TARBP2,7548,7548,1,1,92
217,TBC1D13,3275,3275,1,1,200
218,TBC1D19,3568,3568,0,0,0
219,TBCK,8360,8360,1,1,188
220,TDRD7,15662,15662,0,0,0
221,TEAD4,16132,16132,1,1,144
222,TESK2,1093,1093,0,0,0
223,TEX2,7008,7008,0,1,290
224,TFCP2,6822,6822,1,1,330
225,THAP3,564,564,1,1,146
226,THAP7,14661,14661,1,1,299
227,TIMM17B,5643,5643,1,1,138
228,TIMM50,2953,2953,1,1,53
229,TMCO6,4006,4006,0,1,113
230,TMED3,11405,11405,1,1,258
231,TMEM104,3506,3506,0,0,0
232,TMEM147,3068,3068,1,1,93
233,TMEM186,14733,14733,1,1,79
234,TMEM209,8552,8552,1,1,197
235,TMEM41B,11384,11384,1,1,41
236,TMEM79,10572,10572,0,0,0
237,TMF1,8292,8292,1,1,143
238,TRAPPC6A,171,171,1,1,163
239,TRIB3,2405,2405,1,1,167
240,TRIM35,2800,2800,0,1,382
241,TRIP4,2759,2759,1,1,137
242,TRMT1,2908,2908,1,1,177
243,TRPC4AP,2343,2343,1,1,99
244,TTBK2,5861,5861,0,0,0
245,TWF2,17805,17805,1,1,284
246,TXNDC16,1687,1687,0,0,0
247,UNK,6349,6349,1,1,225
248,UPF3B,5435,5435,1,1,193
249,UROS,15496,15496,1,1,217
250,USP28,618,618,1,1,180
251,VAPB,5282,5282,1,1,148
252,VIM,441,441,1,1,100
253,WBP4,4915,4915,1,1,234
254,YIPF6,14152,14152,1,1,81
255,ZBTB34,13502,13502,0,1,154
256,ZBTB41,13623,13623,1,1,154
257,ZBTB48,16731,16731,1,1,83
258,ZC2HC1A,2830,2830,0,0,0
259,ZC3HAV1,3120,3120,1,1,183
260,ZDHHC12,10078,10078,1,1,282
261,ZDHHC4,6975,6975,1,1,125
262,ZFP62,15831,15831,0,1,131
263,ZHX3,13048,13048,1,1,261
264,ZKSCAN1,3171,3171,1,1,323
265,ZKSCAN2,9494,9494,0,1,136
266,ZKSCAN3,15622,15622,0,1,92
267,ZNF16,12322,12322,0,1,88
268,ZNF174,2718,2718,0,1,23
269,ZNF219,11215,11215,0,1,74
270,ZNF22,11145,11145,1,1,149
271,ZNF25,13235,13235,0,1,184
272,ZNF251,16206,16206,0,1,219
273,ZNF280C,740,740,0,1,64
274,ZNF282,12229,12229,1,1,362
275,ZNF32,12125,12125,1,1,108
276,ZNF324,1557,1557,0,1,47
277,ZNF397,15139,15139,1,1,63
278,ZNF410,4794,4794,1,1,125
279,ZNF444,11663,11663,1,1,198
280,ZNF462,8700,8700,0,1,300
281,ZNF496,10378,10378,1,1,148
282,ZNF507,11926,11926,1,1,279
283,ZNF514,8189,8189,1,1,300
284,ZNF526,11641,11641,1,1,212
285,ZNF530,14505,14505,0,1,264
286,ZNF543,13677,13677,0,1,211
287,ZNF627,16288,16288,0,1,150
288,ZNF628,16027,16027,0,1,147
289,ZNF641,11611,11611,0,1,144
290,ZNF670,18347,18347,1,1,101
291,ZNF714,10068,10068,1,1,67
292,ZNF740,7570,7570,1,1,151
293,ZNF768,12171,12171,1,1,168
294,ZNF777,15767,15767,1,1,70
295,ZNF783,16750,16750,0,1,166
296,ZNF784,13919,13919,0,1,182
297,ZNF786,15993,15993,0,1,152
298,ZNF821,2655,2655,0,1,336
299,ZRANB3,5051,5051,1,1,45
