global_index,gene_symbol,ensembl_id,in_vcc_output,vcc_output_index,in_vcc2025,vcc2025_local_index,in_replogle,replogle_local_index,is_replogle_perturbation_target,replogle_perturbed_cell_count
133,KDM7A,,1,133,1,7167,0,-1,0,0
134,ETV1,,1,134,1,6554,0,-1,1,129
135,AGK,ENSG00000006530,1,135,1,7175,1,3342,1,90
136,ALDH3B1,,1,136,1,10055,0,-1,0,0
137,TTC22,,1,137,1,667,0,-1,0,0
138,PHTF2,ENSG00000006576,1,138,1,6822,1,3181,1,227
139,CCL26,,1,139,1,6803,0,-1,0,0
140,FARP2,,1,140,1,3015,0,-1,1,289
141,USH1C,,1,141,1,9541,0,-1,0,0
142,GGCT,ENSG00000006625,1,142,1,6634,1,3081,1,315
143,DBF4,ENSG00000006634,1,143,1,6843,1,3185,1,238
144,TBXA2R,ENSG00000006638,1,144,1,15036,1,6974,1,297
145,IFRD1,ENSG00000006652,1,145,1,7030,1,3283,1,472
146,LGALS14,,1,146,1,15671,0,-1,0,0
147,COX10,ENSG00000006695,1,147,1,13834,1,6384,1,176
148,GTF2IRD1,,1,148,1,6796,0,-1,1,93
149,PAF1,ENSG00000006712,1,149,1,15659,1,7263,1,88
150,VPS41,ENSG00000006715,1,150,1,6672,1,3094,1,731
151,ARHGAP44,,1,151,1,13832,0,-1,0,0
152,ELAC2,ENSG00000006744,1,152,1,13833,1,6383,1,141
153,SCIN,,1,153,1,6552,0,-1,1,133
154,ARSD,,1,154,1,17353,0,-1,0,0
155,PNPLA4,ENSG00000006757,1,155,1,17362,1,8002,1,281
156,MYH13,,1,156,1,13816,0,-1,0,0
157,ADIPOR2,ENSG00000006831,1,157,1,10508,1,4759,1,241
158,CDKL3,,1,158,1,5161,0,-1,0,0
159,UPP2,,1,159,1,2555,0,-1,0,0
160,PRSS21,ENSG00000007038,1,160,1,12959,1,5965,1,114
161,MARK4,ENSG00000007047,1,161,1,15814,1,7320,1,146
162,PROM1,,1,162,1,4136,0,-1,0,0
163,CCDC124,ENSG00000007080,1,163,1,15407,1,7154,1,554
164,CEACAM21,,1,164,1,15720,0,-1,0,0
165,PAFAH1B1,ENSG00000007168,1,165,1,13640,1,6318,1,153
166,NOS2,,1,166,1,13909,0,-1,0,0
167,DNAH9,,1,167,1,13828,0,-1,0,0
168,KIAA0100,ENSG00000007202,1,168,1,13927,1,6426,1,63
169,SLC13A2,,1,169,1,13921,0,-1,0,0
170,GAS7,,1,170,1,13815,0,-1,0,0
171,TRAPPC6A,ENSG00000007255,1,171,1,15817,1,7322,1,163
172,MATK,ENSG00000007264,1,172,1,15041,1,6978,1,158
173,CEACAM7,,1,173,1,15722,0,-1,0,0
174,CD79B,,1,174,1,14438,0,-1,0,0
175,SCN4A,,1,175,1,14439,0,-1,0,0
176,ST7L,ENSG00000007341,1,176,1,934,1,469,1,132
177,TKTL1,,1,177,1,18022,0,-1,0,0
178,PAX6,ENSG00000007372,1,178,1,9599,1,4386,1,285
179,RPUSD1,ENSG00000007376,1,179,1,12888,1,5917,1,424
180,RHBDF1,,1,180,1,12850,0,-1,0,0
181,LUC7L,ENSG00000007392,1,181,1,12857,1,5899,1,296
182,CACNA2D2,,1,182,1,3354,0,-1,0,0
183,BAIAP3,,1,183,1,12899,0,-1,0,0
184,TSR3,ENSG00000007520,1,184,1,12900,1,5920,1,303
185,PIGQ,ENSG00000007541,1,185,1,12868,1,5907,1,130
186,CRAMP1,ENSG00000007545,1,186,1,12910,1,5926,0,0
187,TEAD3,,1,187,1,5879,0,-1,1,717
188,SELE,,1,188,1,1398,0,-1,0,0
189,DNAJC11,ENSG00000007923,1,189,1,89,1,45,1,171
190,FMO3,,1,190,1,1406,0,-1,0,0
191,MYLIP,ENSG00000007944,1,191,1,5617,1,2598,1,136
192,NOX1,,1,192,1,17732,0,-1,0,0
193,E2F2,ENSG00000007968,1,193,1,271,1,116,1,214
194,PSMB1,ENSG00000008018,1,194,1,6470,1,3002,1,129
195,SYN1,,1,195,1,17522,0,-1,0,0
196,JARID2,ENSG00000008083,1,196,1,5615,1,2596,1,149
197,CDKL5,,1,197,1,17418,0,-1,0,0
198,CAMK1G,,1,198,1,1634,0,-1,0,0
199,CDK11A,ENSG00000008128,1,199,1,39,1,25,1,432
200,NADK,ENSG00000008130,1,200,1,40,1,26,1,164
201,TFAP2B,ENSG00000008196,1,201,1,6032,1,2801,1,37
202,TFAP2D,,1,202,1,6031,0,-1,1,54
203,DLEC1,,1,203,1,3175,0,-1,0,0
204,CYTH3,,1,204,1,6527,0,-1,1,217
205,ADAM22,,1,205,1,6844,0,-1,0,0
206,SYPL1,ENSG00000008282,1,206,1,7007,1,3265,1,301
207,CYB561,ENSG00000008283,1,207,1,14421,1,6661,1,182
208,SPAG9,ENSG00000008294,1,208,1,14346,1,6616,1,180
209,CELSR3,,1,209,1,3296,0,-1,0,0
210,AASS,,1,210,1,7059,0,-1,0,0
211,PLEKHG6,,1,211,1,10540,0,-1,0,0
212,SS18L2,ENSG00000008324,1,212,1,3209,1,1528,1,344
213,MPND,,1,213,1,15059,0,-1,1,59
214,MGST1,ENSG00000008394,1,214,1,10679,1,4811,1,217
215,CRY1,ENSG00000008405,1,215,1,11232,1,5066,1,330
216,PGLYRP1,,1,216,1,15849,0,-1,0,0
217,NFIX,,1,217,1,15293,0,-1,1,403
218,ST3GAL1,,1,218,1,7804,0,-1,0,0
219,MMP25,,1,219,1,12972,0,-1,0,0
220,IL32,,1,220,1,12973,0,-1,0,0
221,PKD1,ENSG00000008710,1,221,1,12934,1,5947,0,0
222,MAPK8IP2,,1,222,1,17333,0,-1,0,0
223,MED24,ENSG00000008838,1,223,1,14078,1,6499,1,58
224,RHOBTB2,,1,224,1,7399,0,-1,0,0
225,HEATR5B,ENSG00000008869,1,225,1,2061,1,961,1,51
226,SEC62,ENSG00000008952,1,226,1,3868,1,1813,1,18
227,CSDE1,ENSG00000009307,1,227,1,957,1,484,1,124
228,UBE3C,ENSG00000009335,1,228,1,7289,1,3387,1,178
229,REV3L,ENSG00000009413,1,229,1,6220,1,2895,1,217
230,TENM1,,1,230,1,17874,0,-1,0,0
231,PAX7,,1,231,1,213,0,-1,1,104
232,MASP2,,1,232,1,122,0,-1,0,0
233,IYD,,1,233,1,6390,0,-1,0,0
234,FAM76A,ENSG00000009780,1,234,1,347,1,154,1,302
235,TRAF3IP3,,1,235,1,1638,0,-1,0,0
236,POMT2,,1,236,1,12150,0,-1,1,270
237,VTA1,ENSG00000009844,1,237,1,6349,1,2947,1,254
238,MLXIPL,,1,238,1,6780,0,-1,1,289
239,BAZ1B,ENSG00000009954,1,239,1,6777,1,3157,1,224
240,RANBP9,ENSG00000010017,1,240,1,5611,1,2594,1,261
241,ETV7,,1,241,1,5893,0,-1,1,75
242,SPRTN,ENSG00000010072,1,242,1,1769,1,825,1,351
243,EEF1AKNMT,ENSG00000010165,1,243,1,1414,1,659,1,142
244,DYRK4,ENSG00000010219,1,244,1,10530,1,4768,1,178
245,ZNF207,ENSG00000010244,1,245,1,13975,1,6456,1,510
246,UQCRC1,ENSG00000010256,1,246,1,3293,1,1566,1,643
247,STARD3NL,ENSG00000010270,1,247,1,6666,1,3093,1,86
248,CD9,ENSG00000010278,1,248,1,10539,1,4770,1,167
249,HHATL,,1,249,1,3213,0,-1,0,0
250,NCAPD2,ENSG00000010292,1,250,1,10547,1,4774,1,41
251,IFFO1,,1,251,1,10548,0,-1,0,0
252,GIPR,,1,252,1,15833,0,-1,1,289
253,SEMA3G,,1,253,1,3387,0,-1,0,0
254,NISCH,ENSG00000010322,1,254,1,3389,1,1619,1,412
255,STAB1,,1,255,1,3390,0,-1,0,0
256,FUZ,,1,256,1,15967,0,-1,0,0
257,SLC6A13,,1,257,1,10499,0,-1,0,0
258,IDS,,1,258,1,17962,0,-1,1,129
259,PRSS3,,1,259,1,8016,0,-1,0,0
260,ZNF200,ENSG00000010539,1,260,1,12977,1,5975,1,148
261,CD4,,1,261,1,10559,0,-1,0,0
262,LRRC23,,1,262,1,10566,0,-1,1,206
263,BTK,ENSG00000010671,1,263,1,17741,1,8125,1,175
264,HFE,,1,264,1,5664,0,-1,0,0
265,SCMH1,ENSG00000010803,1,265,1,510,1,256,1,188
266,FYN,ENSG00000010810,1,266,1,6222,1,2896,1,219
267,HIVEP2,,1,267,1,6351,0,-1,1,315
268,FMO1,,1,268,1,1408,0,-1,0,0
269,ELOA,ENSG00000011007,1,269,1,273,1,119,1,205
270,LYPLA2,ENSG00000011009,1,270,0,-1,1,121,1,44
271,CLCN6,ENSG00000011021,1,271,1,137,1,73,1,236
272,MRC2,,1,272,1,14418,0,-1,1,193
273,SLC6A7,,1,273,1,5348,0,-1,0,0
274,TSPAN9,,1,274,1,10520,0,-1,0,0
275,BTBD7,ENSG00000011114,1,275,1,12207,1,5591,1,139
276,MKS1,ENSG00000011143,1,276,1,14378,1,6634,1,172
277,ABHD5,ENSG00000011198,1,277,1,3224,1,1534,1,143
278,ANOS1,,1,278,1,17364,0,-1,0,0
279,AKAP8L,ENSG00000011243,1,279,1,15344,1,7126,1,139
280,MBTD1,ENSG00000011258,1,280,1,14349,1,6619,1,187
281,UTP18,ENSG00000011260,1,281,1,14350,1,6621,1,147
282,RNF216,ENSG00000011275,1,282,1,6520,1,3029,1,349
283,TTC19,ENSG00000011295,1,283,1,13846,1,6388,1,117
284,PTBP1,ENSG00000011304,1,284,1,14943,1,6913,1,71
285,DPF1,,1,285,1,15625,0,-1,1,380
286,SYT7,,1,286,1,9852,0,-1,0,0
287,LARS2,ENSG00000011376,1,287,1,3244,1,1544,1,280
288,PIK3C2A,ENSG00000011405,1,288,1,9536,1,4361,1,17
289,PLAUR,ENSG00000011422,1,289,1,15770,1,7308,1,92
290,ANLN,ENSG00000011426,1,290,1,6659,1,3092,1,166
291,WIZ,ENSG00000011451,1,291,1,15345,1,7127,1,161
292,RABGAP1,ENSG00000011454,1,292,1,8379,1,3855,1,321
293,DCN,,1,293,1,11149,0,-1,0,0
294,QPCTL,,1,294,1,15835,0,-1,1,141
295,PPP5C,ENSG00000011485,1,295,1,15855,1,7339,1,271
296,CEP68,ENSG00000011523,1,296,1,2176,1,1033,1,128
297,MAP4K3,ENSG00000011566,1,297,1,2083,1,976,1,148
298,ZBTB32,,1,298,1,15565,0,-1,1,291
299,TYROBP,ENSG00000011600,1,299,1,15580,1,7234,1,93
300,TMEM159,ENSG00000011638,1,300,1,13105,1,6042,1,109
301,GABRA3,,1,301,1,17983,0,-1,0,0
302,BRCA1,ENSG00000012048,1,302,1,14202,1,6545,1,197
303,ERCC1,ENSG00000012061,1,303,1,15825,1,7326,1,214
304,CD22,,1,304,1,15549,0,-1,0,0
305,SEMA3B,,1,305,1,3341,0,-1,0,0
306,MBTPS2,ENSG00000012174,1,306,1,17432,1,8023,1,400
307,PRICKLE3,,1,307,1,17559,0,-1,1,280
308,LTF,,1,308,1,3258,0,-1,1,263
309,EXTL3,ENSG00000012232,1,309,1,7443,1,3446,1,161
310,NR1H4,,1,310,1,11187,0,-1,1,168
311,ELOVL5,ENSG00000012660,1,311,1,6049,1,2808,1,293
312,ALOX5,,1,312,1,8782,0,-1,0,0
313,KDM5D,,1,313,1,18066,0,-1,0,0
314,CALCOCO1,,1,314,1,10919,0,-1,1,50
315,UBR7,ENSG00000012963,1,315,1,12206,1,5590,1,339
316,MAP4K5,ENSG00000012983,1,316,1,11954,1,5470,1,167
317,EHD3,,1,317,1,2044,0,-1,0,0
318,PSMC4,ENSG00000013275,1,318,1,15677,1,7272,1,131
319,MAN2B2,,1,319,1,4094,0,-1,0,0
320,SLC7A14,,1,320,1,3874,0,-1,0,0
321,CLDN11,,1,321,1,3873,0,-1,0,0
322,SLC25A39,ENSG00000013306,1,322,1,14230,1,6559,1,222
323,MVP,,1,323,1,13176,0,-1,0,0
324,NUB1,ENSG00000013374,1,324,1,7268,1,3371,1,315
325,PGM3,ENSG00000013375,1,325,1,6115,1,2836,1,151
326,RWDD2A,,1,326,1,6116,0,-1,0,0
327,CLK1,ENSG00000013441,1,327,1,2740,1,1319,1,227
328,POLR3B,ENSG00000013503,1,328,1,11227,1,5063,1,130
329,ANGEL1,,1,329,1,12143,0,-1,0,0
330,RNF14,ENSG00000013561,1,330,1,5296,1,2442,1,513
331,DNASE1L1,,1,331,1,18025,0,-1,1,205
332,DDX11,ENSG00000013573,1,332,1,10736,1,4837,1,230
333,HEBP1,,1,333,1,10655,0,-1,1,106
334,GPRC5A,,1,334,1,10653,0,-1,0,0
335,MAMLD1,,1,335,1,17970,0,-1,0,0
336,CD6,,1,336,1,9839,0,-1,0,0
337,TACC3,ENSG00000013810,1,337,1,4052,1,1902,1,213
338,UFL1,ENSG00000014123,1,338,1,6159,1,2860,1,473
339,POLA2,ENSG00000014138,1,339,1,9964,1,4531,1,138
340,ZC3H3,,1,340,1,7843,0,-1,1,171
341,CAPN1,ENSG00000014216,1,341,1,9963,1,4530,1,29
342,ACPP,,1,342,1,3702,0,-1,0,0
343,MDH1,ENSG00000014641,1,343,1,2168,1,1027,1,194
344,SLC30A9,ENSG00000014824,1,344,1,4200,1,1970,1,116
345,MTMR11,,1,345,1,1027,0,-1,0,0
346,COX15,ENSG00000014919,1,346,1,9076,1,4191,1,162
347,CCDC88C,ENSG00000015133,1,347,1,12188,1,5579,1,226
348,YAF2,ENSG00000015153,1,348,1,10759,1,4848,1,84
349,ZMYND11,ENSG00000015171,1,349,1,8617,1,3986,1,229
350,WAS,ENSG00000015285,1,350,1,17538,1,8058,1,163
351,DPEP1,,1,351,1,13586,0,-1,0,0
352,BID,ENSG00000015475,1,352,1,16943,1,7790,1,185
353,NPC1L1,,1,353,1,6700,0,-1,0,0
354,XYLT2,,1,354,1,14330,0,-1,1,92
355,STMN4,,1,355,1,7427,0,-1,0,0
356,NUDCD3,ENSG00000015676,1,356,1,6699,1,3112,1,138
357,ISL1,,1,357,1,4870,0,-1,1,525
358,CHDH,ENSG00000016391,1,358,1,3407,1,1631,1,165
359,IL20RA,,1,359,1,6329,0,-1,0,0
360,CLCA1,ENSG00000016490,1,360,1,788,1,392,1,109
361,CLCA4,,1,361,1,789,0,-1,0,0
362,GLT8D1,ENSG00000016864,1,362,1,3395,1,1624,1,342
363,ATP2C1,ENSG00000017260,1,363,1,3697,1,1741,1,91
364,IGF1,,1,364,1,11203,0,-1,1,23
365,SLC38A5,ENSG00000017483,1,365,1,17531,1,8053,1,119
366,RALBP1,ENSG00000017797,1,366,1,14701,1,6822,1,224
367,RUFY3,ENSG00000018189,1,367,1,4308,1,2004,1,444
368,CNTN1,,1,368,1,10756,0,-1,0,0
369,SLC11A1,,1,369,1,2834,0,-1,0,0
370,WWTR1,,1,370,1,3789,0,-1,0,0
371,AGPS,ENSG00000018510,1,371,1,2652,1,1274,1,163
372,CXorf56,ENSG00000018610,1,372,1,17848,1,8153,1,167
373,ATP1A2,,1,373,1,1297,0,-1,0,0
374,TTC27,ENSG00000018699,1,374,1,2053,1,955,1,73
375,ZNF582,,1,375,1,16163,0,-1,1,152
376,VSIG2,,1,376,1,10435,0,-1,0,0
377,PHLDB1,,1,377,1,10360,0,-1,1,212
378,MARCO,,1,378,1,2450,0,-1,0,0
379,CYP24A1,,1,379,1,16639,0,-1,0,0
380,PRDM11,,1,380,1,9648,0,-1,0,0
381,SYT13,,1,381,1,9649,0,-1,0,0
382,SNAI2,,1,382,1,7527,0,-1,1,155
383,CD74,,1,383,1,5352,0,-1,0,0
384,HGF,,1,384,1,6828,0,-1,0,0
385,ZRANB1,,1,385,1,9249,0,-1,0,0
386,NCDN,ENSG00000020129,1,386,1,436,1,207,1,167
387,ADGRA2,,1,387,1,7472,0,-1,0,0
388,ZFP64,,1,388,1,16636,0,-1,1,181
389,MNAT1,ENSG00000020426,1,389,1,12022,1,5505,1,126
390,SAMD4A,,1,390,1,11981,0,-1,0,0
391,RUNX3,,1,391,1,291,0,-1,1,255
392,MRE11,ENSG00000020922,1,392,1,10210,1,4663,1,154
393,PLEKHB1,,1,393,1,10110,0,-1,0,0
394,SERPINB1,ENSG00000021355,1,394,1,5555,1,2557,1,111
395,CYP3A43,,1,395,1,6920,0,-1,0,0
396,SLC7A9,,1,396,1,15512,0,-1,0,0
397,SPAST,ENSG00000021574,1,397,1,2048,1,951,1,152
398,NRXN3,,1,398,1,12162,0,-1,0,0
399,OSBPL5,,1,399,1,9376,0,-1,1,280
400,AQR,ENSG00000021776,1,400,1,12378,1,5651,1,19
401,CPS1,,1,401,1,2806,0,-1,0,0
402,C8B,,1,402,1,678,0,-1,0,0
403,FHL1,,1,403,1,17929,0,-1,0,0
404,RTF2,ENSG00000022277,1,404,1,16648,1,7648,1,175
405,GABRA1,,1,405,1,5417,0,-1,0,0
406,NLRP2,ENSG00000022556,1,406,1,16110,1,7424,1,60
407,SLC45A4,,1,407,1,7814,0,-1,1,91
408,RNF10,ENSG00000022840,1,408,1,11345,1,5133,1,281
409,ZNF839,,1,409,1,12269,0,-1,0,0
410,ZDHHC6,ENSG00000023041,1,410,1,9169,1,4235,1,354
411,GRAMD1B,,1,411,1,10405,0,-1,0,0
412,RNH1,ENSG00000023191,1,412,1,9314,1,4291,1,189
413,NDUFS1,ENSG00000023228,1,413,1,2775,1,1340,1,73
414,RB1CC1,ENSG00000023287,1,414,1,7534,1,3497,1,246
415,ERP44,ENSG00000023318,1,415,1,8243,1,3808,1,269
416,ALAS1,ENSG00000023330,1,416,1,3379,1,1614,1,108
417,BIRC3,,1,417,1,10237,0,-1,0,0
418,AKAP11,ENSG00000023516,1,418,1,11558,1,5258,1,84
419,GLRX2,ENSG00000023572,1,419,1,1507,1,703,1,179
420,SNAPC1,,1,420,1,12028,0,-1,1,104
421,DERA,ENSG00000023697,1,421,1,10677,1,4810,1,32
422,STRAP,ENSG00000023734,1,422,1,10676,1,4809,1,231
423,ABCC2,,1,423,1,9077,0,-1,0,0
424,DEF6,ENSG00000023892,1,424,1,5876,1,2735,1,161
425,PLEKHO1,ENSG00000023902,1,425,1,1030,1,514,1,277
426,GCLM,ENSG00000023909,1,426,1,830,1,420,1,202
427,UBR2,ENSG00000024048,1,427,1,5951,1,2765,1,33
428,EHD2,,1,428,1,15887,0,-1,0,0
429,DEPDC1,ENSG00000024526,1,429,1,727,1,365,1,195
430,CCDC28A,ENSG00000024862,1,430,1,6340,1,2942,1,296
431,RRAGD,ENSG00000025039,1,431,1,6148,1,2854,1,246
432,HSF2,ENSG00000025156,1,432,1,6262,1,2914,1,55
433,PHF20,ENSG00000025293,1,433,1,16488,1,7578,1,197
434,HSD17B6,,1,434,1,11003,0,-1,0,0
435,NR1H3,,1,435,1,9674,0,-1,1,190
436,TYMP,ENSG00000025708,1,436,1,17327,1,7990,1,116
437,NCAPH2,ENSG00000025770,1,437,1,17325,1,7988,1,306
438,TOMM34,ENSG00000025772,1,438,1,16554,1,7611,1,190
439,SEC63,ENSG00000025796,1,439,1,6193,1,2879,1,115
440,KPNA6,ENSG00000025800,1,440,1,390,1,182,1,83
441,VIM,ENSG00000026025,1,441,1,8693,1,4028,1,100
442,FAS,,1,442,1,8986,0,-1,0,0
443,RNASET2,ENSG00000026297,1,443,1,6450,1,2995,1,113
444,CD44,,1,444,1,9623,0,-1,0,0
445,KCNG1,,1,445,1,16632,0,-1,0,0
446,AGPAT4,ENSG00000026652,1,446,1,6439,1,2991,1,207
447,SLAMF7,,1,447,1,1311,0,-1,0,0
